,E,p
1,1517291461370,0.00113850
2,1517291467990,0.00113850
3,1517291474668,0.00113850
4,1517291474679,0.00113850
5,1517291478213,0.00113840
6,1517291478666,0.00113840
7,1517291478742,0.00113840
8,1517291479254,0.00113800
9,1517291479624,0.00113800
10,1517291480178,0.00113800
11,1517291482090,0.00113800
12,1517291482768,0.00113800
13,1517291487657,0.00113800
14,1517291493819,0.00113800
15,1517291502168,0.00113800
16,1517291502227,0.00113800
17,1517291503055,0.00113800
18,1517291503101,0.00113800
